,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 5,01084d3c-9d4e-4aa5-86f0-1d1560fcffa1,180489,171668,THE REKTIFIERS,,2,,3,,3,,6,,6,6,,,Wagmi's Mages,,7,,7,,7,,7,,7,7,,
1,Round 5,05e0325b-5704-41f5-91d0-cf1d93cb57d7,178199,180286,Gurkensalat,,,,,,7,7,4,7,7,7,,,Haram,6,,2,,6,,7,,7,,6,,
2,Round 5,06b53a48-a39a-49e3-88d3-f0e36ad3a29e,181267,182431,Harriet,2,,2,,4,,6,,1,,1,,,Wag City Baby,,6,,6,,8,,3,,5,6,,
3,Round 5,0766fe5a-06b0-467d-be64-32dced4ab838,176060,171781,Wagmi's Revenge,,7,,6,,7,,7,,7,7,,,Chamallow,6,,4,,2,,1,,6,,6,,
4,Round 5,091f5cab-7ce3-4685-b67f-792291325c8a,181225,178316,Sheet,3,,3,,5,,6,,7,,3,,,( ͡ಠ ʖ̯ ͡ಠ),6,,4,,1,,8,,1,,4,,
5,Round 5,14495d6f-b1fa-49fd-8d02-ad4119bc62b6,180703,181280,Portal Mages 2,5,,6,,7,,5,,7,,6,,,Celebi,,2,,2,,1,,7,,3,3,,
6,Round 5,17f55852-99db-4ddb-a653-80a576c18d68,171967,181743,Slaxter,,7,,7,,3,,1,,7,7,,,Machete,,6,,4,,7,,7,,7,7,,
7,Round 5,1887f6eb-4cfe-49d5-a840-e6c9f83ec61e,181896,180742,SlickA,7,,5,,7,,7,,6,,5,,,Portal Mages 3,5,,4,,8,,1,,6,,4,,
8,Round 5,260f3754-f68b-4cf9-bed4-311134850f87,182437,177335,Wagfreedom,,,,,,7,4,7,6,7,7,,,EVG,6,,6,,2,,7,,5,,6,,
9,Round 5,277e9b2b-859e-4d4e-8566-4b8c909acd61,179637,169669,AltBae,7,,6,,2,,7,,4,,2,,,Singer 1,,1,,4,,4,,1,,1,4,,
10,Round 5,2f772c7f-514d-413c-9890-6446df09dc75,178210,172991,Ku-Ku Jodel,7,,2,,8,,7,,7,,7,,,[HCF] hotcurlyfries,5,,1,,8,,6,,4,,6,,
11,Round 5,316e374e-3bb2-41a6-8cc8-32da5c61f0a7,182396,170840,genovese deloaded,,5,,8,,5,,6,,7,5,,,Los Pollos Hermanos,,6,,1,,7,,7,,7,7,,
12,Round 5,56879541-c0c8-44fe-bb0c-947fec20c9d0,181108,174233,Cameo,2,,6,,5,,6,,7,,6,,,GFA 2,,,,,,7,4,4,7,2,2,,
13,Round 5,5d4793d8-5673-4dee-93eb-74c4b1375063,180350,174967,Fuckin trolls,8,,8,,8,,8,,8,,8,,,Dely 1,,6,,4,,7,,3,,5,6,,
14,Round 5,7870fe1d-ce6a-4aff-be54-57dfb4ab39e3,181981,181106,SlickF,,3,,2,,5,,8,,1,5,,,GHSTHEAD's DESTROYERS,,5,,6,,7,,5,,1,1,,
15,Round 5,88c0f1c2-5897-44f0-99fc-d7b43c2ffe47,172729,180796,Fantastic 5,,,4,,,3,5,,6,8,5,,,Portal Mages 4,5,,6,,1,,3,,3,,6,,
16,Round 5,9a6efb13-add5-4b39-b596-17202544cbe9,170542,170332,Lil' Somthin' Somthin',,7,,7,,3,,6,,5,6,,,Revenge of the Schweinz,,,,,,3,1,8,1,6,8,,
