,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 6,0000e13b-d5b8-483d-9bb8-67d98fffdd52,178608,182396,Kuwl's Ghouls,,6,,6,,7,,4,,5,6,,,genovese deloaded,,5,,8,,5,,6,,7,5,,
1,Round 6,0a4e70d1-e88b-4801-a0d9-5fae6cb84699,177770,180350,aavegotch1,2,,6,,6,,8,,5,,6,,,Fuckin trolls,8,,8,,8,,8,,8,,8,,
2,Round 6,21c7c36b-733f-423b-953c-f06ab74c9bd5,180179,181280,TeamTeamTeam,,8,,8,,5,,6,,3,5,,,Celebi,,2,,2,,1,,7,,3,3,,
3,Round 6,266fd7e5-cf99-4b41-907d-0d6fe6779194,181210,178199,boomerati,5,,7,,5,,3,,3,,3,,,Gurkensalat,,,,,,7,7,4,7,7,7,,
4,Round 6,2f75569e-9abb-432d-ad31-6ee3f1693a52,181170,182431,wha,,,4,,,7,7,,4,7,4,,,Wag City Baby,,6,,6,,8,,3,,5,6,,
5,Round 6,3191a5d3-0b7f-4e96-ae6e-38c843121fc0,182413,178976,Ogi Maxi,6,,6,,7,,4,,1,,6,,,RUN01,,,2,,,7,7,,7,7,7,,
6,Round 6,323edab0-93d8-4a3f-81dc-0230ee1792fc,171967,177335,Slaxter,,7,,7,,3,,1,,7,7,,,EVG,6,,6,,2,,7,,5,,6,,
7,Round 6,34bfa345-6a40-4660-b6e4-119ea7e72ac7,180742,181106,Portal Mages 3,5,,4,,8,,1,,6,,4,,,GHSTHEAD's DESTROYERS,,5,,6,,7,,5,,1,1,,
8,Round 6,5a7d5bfa-784b-44c7-ae96-bbdd704c926c,178052,178210,ASKALS,,4,,1,,4,,6,,1,6,,,Ku-Ku Jodel,7,,2,,8,,7,,7,,7,,
9,Round 6,611dce71-366f-4f23-b722-031c558eceab,182140,172729,One More Time,,7,,6,,3,,7,,7,7,,,Fantastic 5,,,4,,,3,5,,6,8,5,,
10,Round 6,6ba5f02f-38ab-437e-8d28-3ff9918b073c,180172,180489,Magical Pow,,,4,,,7,2,,7,7,7,,,THE REKTIFIERS,,2,,3,,3,,6,,6,6,,
11,Round 6,7bad472d-4c3f-4a34-a3c8-16e1b1be2e4f,181156,179637,Snowfro,6,,6,,6,,7,,5,,6,,,AltBae,7,,6,,2,,7,,4,,2,,
12,Round 6,83a4fc00-2eb7-425b-b335-5bd48812f2e9,180272,181710,Portal Mages,,6,,7,,7,,6,,7,6,,,samie 01,,7,,7,,7,,7,,6,7,,
13,Round 6,9208799a-0762-401b-9b8f-6c64184a6da7,181225,181238,Sheet,3,,3,,5,,6,,7,,3,,,Will Smith,7,,4,,8,,8,,6,,4,,
14,Round 6,9daa9fa4-0b25-41bd-9193-d99baacacdeb,176060,170542,Wagmi's Revenge,,7,,6,,7,,7,,7,7,,,Lil' Somthin' Somthin',,7,,7,,3,,6,,5,6,,
15,Round 6,b935d712-fff7-40f7-90af-be37fa04ae0e,181108,171465,Cameo,2,,6,,5,,6,,7,,6,,,SUMMONER,,2,,1,,7,,3,,5,1,,
