,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 3,0227ed65-2935-4d33-be54-7fada9d83416,181410,180273,Buffalo DeGotchi 5,,7,,7,,7,,8,,1,7,,,AB5,2,,2,,2,,8,,8,,2,,
1,Round 3,03795e3c-3a2b-4778-98ce-3e55f2a62cbc,177348,180217,EVG,6,,6,,2,,7,,5,,6,,,Front rot,,4,,4,,7,,5,,1,4,,
2,Round 3,09d6fdb9-bfbc-4d5c-a4c4-8050451b847a,182207,181098,DuuTeam,2,4,,2,5,,,3,,,4,,,¯\(◉◡◔)/¯,4,3,3,3,6,,,,,,3,,
3,Round 3,0b52dd67-c65b-4787-8f37-5dade5362804,179522,178217,Alcoholics III,2,,7,,2,,1,,3,,1,,,Du wirst rasiert,,6,,2,,1,,1,,1,1,,
4,Round 3,0b797ce0-af52-4a37-9072-b38f96e65620,181102,178247,Portal Mages 12,1,,5,,8,,6,,1,,5,,,This cannot work,,3,,3,,3,,3,,6,3,,
5,Round 3,0deb2b4b-2f01-4d66-83c7-339a7c0de92b,171313,180224,DELTA GOTCHI,1,,1,,1,,6,,3,,1,,,Gestia,,7,,3,,1,,5,,6,5,,
6,Round 3,0f02de18-b0db-4372-b083-5eb5742c5224,181397,181482,Buffalo DeGotchi 4,3,,6,,4,,2,,5,,6,,,CryptoGreen3Cleavers,3,3,3,3,3,,,,,,3,,
7,Round 3,120f0c98-fc98-42ca-b6d2-5d596e819e9f,171222,181535,Sandro 2,1,1,,3,4,,,6,,,1,,,CryptoGreen11,,2,,4,,7,,6,,7,6,,
8,Round 3,1331616a-7195-49d9-aff1-5a97ebb31a5a,179523,178101,Glitter,8,,7,,5,,2,,1,,8,,,RATKALS,4,,1,,6,,2,,6,,6,,
9,Round 3,1473c1fa-522d-4250-b6e6-0c76ab78d7b2,169878,181494,TheTeam1,,,4,,,3,4,,6,5,5,,,piggy,,2,,3,,1,,1,,1,1,,
10,Round 3,14bc186e-17dc-4820-8215-e7d80ba1f208,180228,169591,Witch Hunter,7,,2,,5,,3,,1,,2,,,Aloe Vera,6,,4,,5,,1,,1,,4,,
11,Round 3,15a1e158-0c42-46c0-8ab4-6c2bfcf96721,174699,178132,Chost Gang,4,,1,,1,,7,,2,,4,,,beta,3,,4,,3,,7,,1,,4,,
12,Round 3,162dfd9b-ec43-438e-b12e-81ef92814cbc,175217,170794,Miya B,1,,7,,2,,3,,6,,2,,,BB8,,,1,,,3,3,,3,3,1,,
13,Round 3,17847ab3-e246-4285-a200-5b5ebcf9c0fc,180220,171659,Vitamin C,,3,,6,,5,,7,,5,5,,,Wagtunga,,,2,,,8,8,,6,8,8,,
14,Round 3,1ba7f23d-065d-4ca6-88ac-587dda42da45,172309,178224,quark axe,,3,,3,,3,,3,,3,3,,,Metal Gear Solid,1,,1,,1,,6,,1,,1,,
15,Round 3,1f960fe1-00e6-4a23-8aaa-47d2123bbf9c,174239,181975,GFA 8,,,,,,1,4,3,8,5,5,,,SlickD,6,,4,,6,,7,,3,,6,,
16,Round 3,22a2bfa8-f021-40c8-8979-b5a783dab0ce,170624,180261,GOTCHI-HAN2,7,7,6,1,2,,,,,,7,,,AB4,5,,5,,5,,4,,4,,4,,
17,Round 3,2525b67c-0eab-4acf-8a3b-af72584436c8,178702,171357,ᕕ(ᐛ)ᕗ,,,4,,,7,7,,7,7,7,,,dioc,,2,,6,,8,,6,,7,6,,
18,Round 3,273b007e-75ae-4d70-8b8d-2c2a57ffd8c6,182235,181112,Majichinhos,,7,,4,,7,,7,,7,7,,,つ◕ل͜◕)つ,,4,,4,,7,,7,,7,7,,
19,Round 3,28f28706-ea40-4d4d-b149-aad8e39ecf55,181005,172993,(ง ͡ʘ ͜ʖ ͡ʘ)ง,,2,,4,,3,,8,,7,4,,,[HCF] waste of space,2,,5,,2,,4,,5,,2,,
20,Round 3,2e143b4e-a5a1-4a05-a385-e8b1b187767b,171534,180251,Power Rangers Beta,,,4,,,3,8,,7,7,3,,,QQ,,7,,4,,1,,3,,1,1,,
21,Round 3,2efc1dbc-b1f2-4b5e-9f59-32c289868582,182138,181719,The Lost Child,,2,,5,,1,,7,,3,5,,,dake,,7,,7,,5,,7,,7,5,,
