Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
round4,0166949e-cb5b-4d2c-b5d6-27dd8296d4db,180224,182194,Gestia,,7,,3,,1,,5,,6,5,,,ninja,1,1,1,1,1,,,,,,1,,
round4,026b047d-ee89-4551-a03f-a5841a56aa19,174794,181504,FtB,,5,,8,,1,,1,,6,5,,,CryptoGreen6,,2,,1,,5,,7,,6,5,,
round4,0300ffa5-e8e1-49b0-b308-3e1cce7b5aff,170627,179501,GOTCHI-HAN4,3,1,8,1,1,,,,,,3,,,Alcoholics II,1,,4,,8,,5,,6,,4,,
round4,08c7655b-5977-4213-8436-7d210ba13805,179904,181446,Kulalongis™ Trolls,,8,,8,,8,,8,,8,8,,,dave,,5,,8,,7,,4,,2,4,,
round4,0a8f6beb-1f10-4414-b68a-a4816e66cef0,174699,182462,Chost Gang,4,,1,,1,,7,,2,,4,,,samie 06,,2,,4,,8,,1,,6,6,,
round4,0d358217-4ccb-4189-b990-3c946ebfbfda,182207,179929,DuuTeam,2,4,,2,5,,,3,,,4,,,Kulalongis™ 2,,3,,3,,4,,6,,4,4,,
round4,15f8171a-3f3d-4192-abcf-8b585806d474,182221,176895,Ninjaku,,,1,,,1,3,,4,1,4,,,Super S1,,4,,8,,1,,3,,5,1,,
round4,162a3feb-2512-4a35-9d3b-374715906692,172289,171925,bottle rape,,5,,7,,7,,7,,7,7,,,grake,,3,,2,,5,,8,,2,8,,
round4,17248665-c47a-4163-a570-21f52c3d842b,181246,181296,RUN12,5,,3,,3,,3,,5,,3,,,Portal Mages 22,5,,6,,5,,5,,5,,6,,
round4,19504020-febf-48fa-8da1-34edad85d008,181410,173153,Buffalo DeGotchi 5,,7,,7,,7,,8,,1,7,,,Team A,6,8,4,5,2,,,,,,6,,
round4,1ce77cbc-b098-4422-a4aa-34a8108af09a,181440,171361,vlad,,4,,2,,4,,1,,5,4,,,MagicTragic,,8,,4,,5,,1,,1,5,,
round4,20f08e4c-2e06-4f25-abbf-0cc73b0f068b,181503,171536,CryptoGreen5,1,,1,,4,,7,,6,,6,,,The Piss,6,,8,,7,,5,,3,,3,,
round4,218e5ede-22ad-4c41-8f55-ba3a96b177f7,178217,170419,Du wirst rasiert,,,2,,,5,4,,6,1,5,,,Realmies,6,,2,,5,,1,,4,,6,,
round4,284d9357-d9df-4631-8d54-c8aaeb566c56,171659,172160,Wagtunga,,2,,8,,8,,6,,8,8,,,kinkai,7,6,1,7,6,,,,,,7,,
round4,28d63409-777b-4bdf-9a8c-35e32d205d2f,176893,170755,Gotchi Battler ZZZ,,5,,7,,6,,1,,2,1,,,moist,3,,4,,1,,5,,7,,3,,
