,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 7,0036c567-fd6c-47e8-9a86-46bbd8db447c,181874,181446,NGMI Far,,,,,,3,5,2,4,7,3,,,dave,7,,8,,2,,5,,4,,5,,
1,Round 7,0620a666-c5b1-4263-a2fd-33e928b1f037,170076,180189,MEA CULPA,,,2,,,5,5,,5,5,2,,,Test team,,,4,,,1,6,,6,1,4,,
2,Round 7,10df783f-b7fb-44af-afe2-39dc4e9f0c6b,178163,172616,CG1,,,4,,,7,7,,7,7,7,,,Team DAIddy Kong,2,,4,,6,,1,,8,,2,,
3,Round 7,1a1d60cb-f916-4211-a752-cd43b4d8b9e6,181858,175427,No Bluff,,,,,,7,7,4,6,7,4,,,Fantasy,5,,4,,6,,7,,3,,6,,
4,Round 7,2dbb42e1-743c-4152-9c36-16dd0d01faed,172730,169878,Team Joan,,4,,2,,5,,7,,6,2,,,TheTeam1,,,4,,,3,4,,6,5,5,,
5,Round 7,36c51383-d8e9-4880-a86e-51beac5c0536,182462,179501,samie 06,7,,3,,2,,7,,8,,7,,,Alcoholics II,1,,4,,8,,5,,6,,4,,
6,Round 7,41811e39-a29e-408d-ada9-948cd9725357,173220,181832,TT,,4,,4,,3,,6,,7,6,,,Tarteiras,,6,,4,,7,,1,,3,6,,
7,Round 7,4bc86bd7-1f5a-466f-8fd6-975385445877,181334,175473,nephews,,4,,4,,5,,3,,1,3,,,Not so Based,,2,,6,,1,,5,,5,6,,
8,Round 7,569b303a-5cb9-4f21-a0be-a0aebeda7e66,174971,178418,Dely 5,,,6,,,1,8,,8,5,6,,,B Squad,,4,,4,,5,,1,,3,5,,
9,Round 7,5a743adb-19b0-45b9-bd18-e8b08b6c558a,169676,181628,The Chosen Ones,1,,8,,1,,7,,7,,7,,,BLEED MY CURSED BEAVERS,,3,,5,,1,,5,,3,5,,
10,Round 7,5d8d368c-345c-40f1-9a79-a8a9d0e7eeac,178141,178982,Maui maulers,,,4,,,5,7,,3,1,5,,,RUN03,6,,2,,2,,6,,1,,6,,
11,Round 7,689f2151-3216-4eab-a1e6-d3be93c095d8,179371,171914,RUN04,,,2,,,7,7,,3,7,7,,,Tommy Gotchi 1.0,1,,4,,1,,6,,3,,6,,
12,Round 7,704b8daa-50b1-423f-9de6-68b5aa0d4235,182458,177933,samie 08,,5,,4,,1,,8,,5,4,,,ヽ(ಠ_ಠ)ノ,2,,4,,2,,7,,6,,4,,
13,Round 7,7e5661bf-a700-432b-9498-238eb43825db,181420,181315,madre,1,6,,7,6,,,7,,,1,,,Rasp,,6,,6,,3,,1,,5,6,,
14,Round 7,93e7c5e7-4cce-4a83-9dff-4dd8343fbb04,175421,180315,Love is still alive,5,,4,,2,,6,,7,,6,,,Bazinga,,,,,,6,3,7,2,4,4,,
15,Round 7,97117e71-5a80-401e-8b49-2d01b6c113a3,177426,175459,bunbogionac,,6,,6,,7,,7,,7,6,,,WebVR,1,,3,,1,,5,,8,,5,,
16,Round 7,a6cf6d46-bb0c-40ed-ada2-8cbf7de6417c,171659,182360,Wagtunga,,2,,8,,8,,6,,8,8,,,Chain Lightning,,4,,7,,7,,7,,6,7,,
17,Round 7,acca6f76-a816-4f30-a9c0-32afa6437fdc,170073,175468,PictureMeTrollin',8,,6,,8,,8,,8,,8,,,No Respec,,7,,8,,8,,6,,8,8,,
18,Round 7,b0472c78-6bb7-490a-93c3-e55453dcd4c3,178100,181705,PUSKALS,4,6,4,6,5,,,,,,5,,,samie 07,8,6,,6,8,,,8,,,8,,
19,Round 7,b048e7bc-4766-4d49-a237-7ac26129423e,182126,181289,Substitutes,,7,,6,,7,,7,,4,7,,,holiday,2,,6,,8,,6,,3,,6,,
20,Round 7,b8f4a436-4ade-4c20-843d-a917c2d2637d,181579,175422,TANK ME LATER,,2,,5,,4,,6,,4,6,,,Eternity,8,,4,,4,,8,,8,,8,,
21,Round 7,b9842cc3-ca7d-4c5d-ade2-d5e1ce4c9f5d,181396,180581,kings,,2,,3,,3,,5,,6,3,,,ZZZ,,,,,,5,7,1,2,6,6,,
22,Round 7,bd54a1a7-3bd7-423d-a0b4-2f57e80d6e52,174032,182132,Heroes and Heretics,6,,5,,5,,5,,7,,6,,,Not Sure,,4,,7,,7,,7,,3,7,,
23,Round 7,c3626e3e-2f07-4250-92a9-f2b32ecd00ef,182407,179550,gambino v2,,,,,,3,8,5,7,6,5,,,It's So Fluffy,4,,7,,2,,6,,1,,4,,
24,Round 7,c9a53774-cbb1-498c-99ec-b96685948282,170544,181968,Rage Quitters,,7,,8,,8,,6,,8,8,,,SlickC,6,,8,,8,,4,,4,,4,,
25,Round 7,d0c64c2b-ca86-48fc-a1ad-2218fb056604,181847,182119,It is what it is,,,,,,1,1,4,6,1,4,,,What's that spell?,,,4,,,7,7,,7,6,7,,
26,Round 7,d9f63595-c61d-43fd-8149-289cda30376a,174234,181256,GFA 3,,,2,,,5,7,,1,8,2,,,Chad,,2,,6,,6,,5,,1,6,,
27,Round 7,e626bd5d-4d9d-4ba4-9fb7-0ea8b1275f6e,170419,181462,Realmies,6,,2,,5,,1,,4,,6,,,Hot Drop the Tender Trousers,,,,,,3,5,2,6,5,5,,
28,Round 7,f5b37146-9768-4f4e-a3eb-4da8e4f012e4,172273,181613,mk,8,4,8,8,8,,,,,,8,,,samie 02,,2,,3,,4,,1,,1,4,,
29,Round 7,fb6966c4-7e84-4309-80e2-03d2939184a9,174970,171468,Dely 4,8,,8,,8,,4,,4,,8,,,SATS,,4,,3,,5,,6,,1,6,,
30,Round 7,fbb7fa45-3123-4e24-9980-90638928f796,182125,178315,Shade Cursey,,,4,,,3,1,,5,7,5,,,welp,,,,,,5,5,3,7,1,5,,
31,Round 7,ff0c9f20-998b-4f36-be50-c7310c094235,180187,171753,Maggogs,,,4,,,7,7,,6,7,7,,,Cloclo and those claudette,,,4,,,6,3,,1,5,6,,
